date,store_id,sku_id,sales_amount,in_promotion,pb_order
2021/1/1,159,368802559,2,0,0
2021/1/1,159,368802586,4.838,0,0
2021/1/1,159,368802608,5.432,0,0
2021/1/1,159,368802637,3,0,0
2021/1/1,159,368802638,1,0,0
2021/1/1,159,368802641,11,1,0
2021/1/1,159,368802641,11,1,0
2021/1/1,159,368802645,2,0,0
2021/1/1,159,368802712,0.794,0,0
2021/1/1,159,368802732,18,0,0
2021/1/1,159,368802745,7.924,0,0
2021/1/1,159,368802748,1.5,0,0
2021/1/1,159,368802795,3.988,0,0
2021/1/1,159,368802802,32.456,1,0
2021/1/1,159,368802817,1.714,0,0
2021/1/1,159,368802822,0,0,0
2021/1/1,159,368802823,3.326,0,0
2021/1/1,159,368802826,0.286,0,0
2021/1/1,159,368802836,1.57,0,0
2021/1/1,159,368802872,1.752,0,0
2021/1/1,159,368802875,2.088,0,0
2021/1/1,159,368802876,1.988,0,0
2021/1/1,159,368802878,1.91,0,0
2021/1/1,159,368802883,4.18,0,0
2021/1/1,159,368802884,0.936,0,0
2021/1/1,159,368802885,0.452,0,0
2021/1/1,159,368802888,1.488,0,0
2021/1/1,159,368802892,0.468,0,0
2021/1/1,159,368802896,2.984,0,0
2021/1/1,159,368802897,2.07,0,0
2021/1/1,159,368802898,4.676,0,0
2021/1/1,159,368802899,2.214,0,0
2021/1/1,159,368802900,1.148,0,0
2021/1/1,159,368802901,3.994,0,0
2021/1/1,159,368802908,1.102,0,0
2021/1/1,159,368802909,1.626,0,0
2021/1/1,159,368802911,2.172,0,0
2021/1/1,159,368802914,1.066,0,0
2021/1/1,159,368802916,1.056,0,0
2021/1/1,159,368802921,1.182,0,0
2021/1/1,159,368802922,3.118,0,0
2021/1/1,159,368802925,1.148,0,0
2021/1/1,159,368802932,1.05,0,0
2021/1/1,159,368802936,4.948,0,0
2021/1/1,159,368802941,1.218,0,0
2021/1/1,159,368802948,2.026,0,0
2021/1/1,159,368802958,2.926,0,0
2021/1/1,159,368802959,0.228,0,0
2021/1/1,159,368802960,0.518,0,0
2021/1/1,159,368802962,0.89,0,0
2021/1/1,159,368802963,1.734,0,0
2021/1/1,159,368802964,1.914,1,0
2021/1/1,159,368802965,2,0,0
2021/1/1,159,368802966,0.82,0,0
2021/1/1,159,368802970,3.22,0,0
2021/1/1,159,368802971,2.974,0,0
2021/1/1,159,368802972,1.934,0,0
2021/1/1,159,368802973,2.1,0,0
2021/1/1,159,368802974,0.814,0,0
2021/1/1,159,368802976,5.936,0,0
2021/1/1,159,368802983,0.366,0,0
2021/1/1,159,368802985,0.342,0,0
2021/1/1,159,368802988,4.248,0,0
2021/1/1,159,368802990,1.036,0,0
